drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
3577	CHEMBL3188552	original	66	0.0322265625	39.0	39.0	1.0	550.4730000000003	0.0
3578	NCGC00165799-02	original	75	0.03662109375	45.0	45.0	1.0	619.6840000000003	0.0
3579	GB-83	original	72	0.03515625	40.0	40.0	1.0	548.7280000000004	0.0
3580	DSSTox_CID_28582	original	70	0.0341796875	46.0	46.0	2.0	649.7110000000005	0.0
3581	Dimebolin	original	47	0.02294921875	24.0	24.0	1.0	319.452	0.0
3582	CHEMBL3348929	original	64	0.03125	33.0	33.0	1.0	477.9490000000002	0.0
3583	NCGC00346728-01	original	124	0.060546875	100.0	100.0	1.0	1420.7039999999997	-2.0
3584	NCGC00346523-01	original	66	0.0322265625	72.0	72.0	1.0	1025.2800000000002	0.0
3585	NCGC00346609-01	original	52	0.025390625	33.0	33.0	1.0	477.60300000000024	0.0
3586	ZINC103939005	original	66	0.0322265625	43.0	43.0	1.0	610.5650000000007	0.0
3587	NCGC00346969-01	original	52	0.025390625	26.0	26.0	1.0	364.3180000000001	0.0
3588	CHEMBL3184424	original	43	0.02099609375	42.0	42.0	1.0	600.5020000000003	0.0
3589	BI-671800	original	49	0.02392578125	36.0	36.0	1.0	501.5090000000002	0.0
3590	tm30089	original	53	0.02587890625	29.0	29.0	1.0	416.4740000000001	0.0
3591	CHEMBL2142770	original	56	0.02734375	32.0	32.0	1.0	456.5480000000002	0.0
3592	CHEMBL2132150	original	42	0.0205078125	24.0	24.0	1.0	324.4030000000002	0.0
3593	CHEMBL574181	original	59	0.02880859375	30.0	30.0	1.0	544.7370000000002	0.0
3594	Pralnacasan	original	72	0.03515625	38.0	38.0	1.0	523.5460000000003	0.0
3595	147859-80-1	original	51	0.02490234375	28.0	28.0	1.0	397.4720000000002	0.0
3596	CAA0225	original	48	0.0234375	36.0	36.0	1.0	487.55600000000027	0.0
3597	C24H28N2O5.H2O	original	46	0.0224609375	32.0	32.0	2.0	442.51200000000017	0.0
3598	VBY-825	original	58	0.0283203125	36.0	36.0	1.0	535.5600000000003	0.0
3599	Episilvestrol	original	76	0.037109375	47.0	47.0	1.0	654.6650000000002	0.0
3600	WEHI-539	original	75	0.03662109375	41.0	41.0	1.0	583.739	0.0
3601	S63845	original	99	0.04833984375	57.0	57.0	1.0	829.2730000000001	0.0
3602	VU0661013	original	83	0.04052734375	50.0	50.0	1.0	712.6780000000002	0.0
3603	AMG-232	original	61	0.02978515625	37.0	37.0	1.0	568.5630000000002	0.0
3604	Milademetan	original	76	0.037109375	42.0	42.0	1.0	618.5370000000003	0.0
3605	SAR405838	original	69	0.03369140625	38.0	38.0	1.0	562.5130000000001	0.0
3606	NVP-CGM097	original	75	0.03662109375	47.0	47.0	1.0	659.2709999999998	0.0
3607	4-[[(2R,3S,4R,5S)-3-(3-chloro-2-fluoro-phenyl)-4-(4-chloro-2-fluoro-phenyl)-4-cyano-5-(2,2-dimethylpropyl)pyrrolidine-2-carbonyl]amino]-3-methoxy-benzoic acid	original	76	0.037109375	42.0	42.0	1.0	616.4920000000003	0.0
3608	RO8994	original	75	0.03662109375	42.0	42.0	1.0	613.5170000000002	0.0
3609	CUDC-427	original	73	0.03564453125	40.0	40.0	1.0	564.7120000000001	0.0
3610	LCL161	original	61	0.02978515625	35.0	35.0	1.0	500.6400000000001	0.0
3611	AT-IAP	original	73	0.03564453125	37.0	37.0	1.0	509.67000000000024	0.0
3612	Imeglimin	original	23	0.01123046875	11.0	11.0	1.0	155.205	0.0
3613	M2698	original	61	0.02978515625	31.0	31.0	1.0	449.86400000000015	0.0
3614	Uprosertib	original	57	0.02783203125	28.0	28.0	1.0	429.25400000000013	0.0
